Description,Name,GTEX-11DXY-0526-SM-5EGGQ,GTEX-11DXZ-0126-SM-5EGGY,GTEX-11EQ9-0526-SM-5A5JZ,GTEX-11GSP-0626-SM-5986T,GTEX-11NUK-1226-SM-5P9GM,GTEX-11OF3-0726-SM-5BC4Z,GTEX-11TT1-1726-SM-5EQLJ,GTEX-11TUW-1726-SM-5BC5C,GTEX-11WQC-0726-SM-5EQMR,GTEX-11ZTS-1426-SM-5EQMM,GTEX-11ZUS-2526-SM-59872,GTEX-11ZVC-0726-SM-5FQT9,GTEX-1212Z-0226-SM-59HLF,GTEX-12696-0826-SM-5EGGE,GTEX-1269C-0626-SM-5FQSS,GTEX-12KS4-1326-SM-5LUB3,GTEX-12WSD-1426-SM-5GCN9,GTEX-12WSG-0626-SM-5FQTQ,GTEX-12WSL-0226-SM-5CVMJ,GTEX-13113-1326-SM-5GCOI,GTEX-131XE-0326-SM-5LZVO,GTEX-131XH-0626-SM-5LZWH,GTEX-131YS-1626-SM-5HL6C,GTEX-132AR-0426-SM-5IFH8,GTEX-132NY-0926-SM-5P9G3,GTEX-1399R-1226-SM-5P9GF,GTEX-1399T-0826-SM-5IFES,GTEX-139TS-1426-SM-5IFJD,GTEX-139TU-0826-SM-5IJFG,GTEX-13FTW-1126-SM-5J2NV,GTEX-13N11-0926-SM-5IJG2,GTEX-13N2G-0926-SM-5IFGJ,GTEX-13NYB-1026-SM-5IFH3,GTEX-13O1R-2026-SM-5KM3N,GTEX-13O3O-1826-SM-5IFGW,GTEX-13OW6-2626-SM-5IFF2,GTEX-13PVQ-1526-SM-5IFEQ,GTEX-13PVR-0126-SM-5S2PY,GTEX-13QJC-0726-SM-5RQJK,GTEX-13SLX-1226-SM-5S2Q6,GTEX-13VXU-0926-SM-5IFFH,GTEX-144GL-1426-SM-79OMA,GTEX-144GM-1326-SM-5LU5E,GTEX-145MF-0826-SM-5QGQA,GTEX-145MO-2326-SM-5NQ9K,GTEX-146FH-1526-SM-5NQBU,GTEX-14753-1626-SM-5NQ9L,GTEX-147F4-1426-SM-5LUA8,GTEX-147GR-1326-SM-7IGLB,GTEX-147JS-1126-SM-5RQIW,GTEX-148VI-0626-SM-5TDDH,GTEX-1497J-0726-SM-5Q5D1,GTEX-14A5I-1726-SM-5QGQ5,GTEX-14AS3-0126-SM-5Q5F4,GTEX-14BIL-1326-SM-79OMR,GTEX-14C38-1526-SM-5RQJ7,GTEX-14DAQ-1726-SM-5S2R2,GTEX-14E1K-0326-SM-5S2PE,GTEX-14E7W-1526-SM-6871X,GTEX-14JG1-1626-SM-664NH,GTEX-14PHX-0526-SM-664NW,GTEX-14XAO-0226-SM-68728,GTEX-15DYW-1326-SM-6LPIV,GTEX-15ER7-1826-SM-6LLI7,GTEX-15RJ7-2026-SM-6LPJ4,GTEX-15RJE-1126-SM-6LPI5,GTEX-15SHU-1826-SM-7KUKS,GTEX-17F96-1226-SM-79OK2,GTEX-17HHE-0126-SM-79398,GTEX-17HII-1026-SM-7IGLY,GTEX-17MF6-1126-SM-7DUFS,GTEX-18465-1626-SM-7LG6N,GTEX-18A66-2026-SM-7189C,GTEX-18A6Q-2026-SM-718AQ,GTEX-18A7A-1526-SM-72D69,GTEX-18D9B-1526-SM-7KFRK,GTEX-1A32A-0826-SM-72D5C,GTEX-1A8FM-1226-SM-7IGMD,GTEX-1A8G7-1126-SM-731ED,GTEX-1AMFI-0826-SM-731DV,GTEX-1AX8Z-1026-SM-7189R,GTEX-1AX9I-1626-SM-72D5D,GTEX-1B8L1-0726-SM-7P8RT,GTEX-1B8SG-1326-SM-79ONT,GTEX-1B932-1426-SM-793AN,GTEX-1B933-1226-SM-731DW,GTEX-1B996-1426-SM-7EPIA,GTEX-1BAJH-1526-SM-7RHGI,GTEX-1C6VQ-1626-SM-79OO1,GTEX-1CB4F-1726-SM-7MGXH,GTEX-1CB4J-0726-SM-7IGN8,GTEX-1E2YA-1226-SM-7MGY3,GTEX-1EH9U-1126-SM-7IGLU,GTEX-1EKGG-1226-SM-7IGNO,GTEX-1EWIQ-0726-SM-7MKFW,GTEX-1F75A-1626-SM-9JGGT,GTEX-1GF9V-1226-SM-7MKGY,GTEX-1GF9W-0826-SM-7MKHI,GTEX-1GF9X-0426-SM-7MKHN,GTEX-1GN1U-0926-SM-9WPPY,GTEX-1GN2E-0926-SM-9WPOH,GTEX-1GN73-1126-SM-9OSW5,GTEX-1GZ4I-1526-SM-9OSW9,GTEX-1H11D-0826-SM-9OSWB,GTEX-1HB9E-0626-SM-AHZ4K,GTEX-1HBPH-2626-SM-A96TV,GTEX-1HBPI-1026-SM-AHZ4N,GTEX-1HCVE-1526-SM-B2LWW,GTEX-1ICG6-1026-SM-B2LY6,GTEX-1ICLY-1526-SM-C1YS4,GTEX-1IKJJ-1526-SM-C1YSC,GTEX-1IKK5-0326-SM-C1YPY,GTEX-1J8EW-1626-SM-C1YQ8,GTEX-1JJEA-1526-SM-CNNPK,GTEX-1JMLX-1326-SM-CXZJO,GTEX-1K9T9-0726-SM-CXZJZ,GTEX-1KAFJ-0726-SM-CXZKF,GTEX-1KANB-2226-SM-DHXJW,GTEX-1KD5A-1226-SM-CXZK7,GTEX-1KWVE-0326-SM-EV7AF,GTEX-1LGRB-0626-SM-CNNQH,GTEX-1LH75-0926-SM-EAZ5C,GTEX-1MJIX-0726-SM-DPRYP,GTEX-1NV8Z-1626-SM-DPRYT,GTEX-1PBJJ-0626-SM-DPRYO,GTEX-1PIIG-1326-SM-EXOIR,GTEX-1QCLZ-1226-SM-EAZ49,GTEX-1QP66-0226-SM-DPRXS,GTEX-1QP6S-1326-SM-DPRZ8,GTEX-1QPFJ-1126-SM-E9U5V,GTEX-1R9JW-0826-SM-DPRZJ,GTEX-1RQEC-1126-SM-EAZ5E,GTEX-O5YT-0826-SM-3TW8N,GTEX-OIZF-0826-SM-3MJGO,GTEX-OOBJ-0826-SM-3NB2K,GTEX-P44G-1126-SM-3NM9D,GTEX-P78B-1326-SM-3P611,GTEX-PX3G-0826-SM-48TZS,GTEX-Q2AG-1126-SM-48U1P,GTEX-Q734-0326-SM-48U15,GTEX-QDVN-0826-SM-48TZ2,GTEX-QEG4-1826-SM-CKZN9,GTEX-QEL4-1226-SM-447A4,GTEX-QESD-2026-SM-447BI,GTEX-QV44-0326-SM-C1YQX,GTEX-R53T-0326-SM-48FEC,GTEX-REY6-1226-SM-48FDR,GTEX-RM2N-1926-SM-48FCU,GTEX-RN64-1826-SM-48FDV,GTEX-RNOR-1426-SM-48FDJ,GTEX-RTLS-1326-SM-46MUN,GTEX-RU72-1426-SM-46MUF,GTEX-RWSA-1426-SM-47JXA,GTEX-S32W-1926-SM-4AD63,GTEX-S33H-1626-SM-4AD68,GTEX-S4Z8-0526-SM-4AD4T,GTEX-SJXC-1226-SM-4DM78,GTEX-T6MN-1226-SM-3NMA5,GTEX-TKQ2-1726-SM-4DXUP,GTEX-U3ZN-0226-SM-3DB8D,GTEX-U8XE-1526-SM-4E3HT,GTEX-UPK5-1426-SM-4JBHH,GTEX-UTHO-2426-SM-4JBHD,GTEX-VUSG-0126-SM-4KL1X,GTEX-WFON-1726-SM-4LVMQ,GTEX-WK11-1326-SM-4OOSI,GTEX-WQUQ-1926-SM-4OOSA,GTEX-WY7C-0726-SM-4ONCB,GTEX-WYVS-1926-SM-4PQZ2,GTEX-WZTO-0626-SM-4PQYY,GTEX-X3Y1-2726-SM-4PQZH,GTEX-X4EO-1126-SM-4QARQ,GTEX-X4EP-1026-SM-4QAS5,GTEX-X4XY-1626-SM-46MVN,GTEX-XBEC-1526-SM-4AT68,GTEX-XXEK-1126-SM-4BRUX,GTEX-Y5LM-0426-SM-4VBRO,GTEX-Y5V5-0926-SM-4VBPZ,GTEX-YB5E-0326-SM-5IFHU,GTEX-YEC4-0826-SM-5P9FV,GTEX-YECK-1926-SM-4W21H,GTEX-YFC4-1526-SM-5IFJS,GTEX-Z9EW-0426-SM-5CVM9,GTEX-ZAB5-0426-SM-5CVMI,GTEX-ZEX8-0826-SM-4WKHK,GTEX-ZF29-2026-SM-DNZYW,GTEX-ZF2S-3026-SM-4WWCH,GTEX-ZPU1-0826-SM-57WG2,GTEX-ZTPG-1426-SM-51MT3,GTEX-ZVP2-0626-SM-51MSO,GTEX-ZVT3-1626-SM-5GU66,GTEX-ZYT6-0626-SM-5E45V,GTEX-ZZPU-0426-SM-5GZYH
LBX2-AS1,ENSG00000257702.3,36.08,21.38,19.08,20.21,29.56,29.24,4.07,1.137,32.6,26.3,19.47,23.42,25.56,24.78,14.8,19.41,23.62,16.5,13.21,14.95,5.002,34.88,29.96,12.33,24.56,30.23,34.45,36.21,23.4,19.47,45.17,23.48,28.92,7.398,4.102,32.13,1.725,17.98,18.88,41.83,29.37,27.53,2.738,26.76,13.84,27.71,15.03,16.1,26.25,20.61,23.06,31.6,23.15,37.4,20.16,8.226,32.47,17.85,33.74,40.02,21.45,8.477,34.34,29.29,11.4,12.38,36.09,43.95,32.69,19.26,24.51,33.23,20.52,37.85,30.05,14.47,6.401,20.2,21.08,17.16,16.95,20.26,30.72,19.98,10.97,36.78,14.69,32.43,16.26,31.96,11.55,18.48,19.03,23.36,37.1,13.01,17.27,10.54,14.65,13.88,15.08,7.212,15.46,25.17,12.76,17.96,24.73,35.18,23.78,6.485,28.53,10.12,24.1,23.7,16.48,9.906,8.976,45.28,19.88,20.34,11.92,13.11,15.82,40.57,17.45,20.54,16.48,8.756,25.65,19.95,23.24,25.03,16.54,27.15,30.95,1.818,20.07,33.13,38.08,16.35,15.95,28.42,10.13,35.29,18.77,27.43,13.59,11.81,45.83,43.84,32.78,27.25,7.61,17.54,24.03,18.49,27.69,40.2,11.37,14.82,1.877,22.73,17.36,5.582,14.19,17.5,16.54,16.13,22.3,32.74,21.61,9.08,18.11,9.386,23.91,2.94,20.45,31.22,18.85,11.78,32.71,23.54,13.17,20.35,17.72,19.11,23.03,10.03,10.1,16.31,46.84,39.95,24.31
DBH-AS1,ENSG00000225756.1,133.8,91.62,59.21,88.62,166.7,137.9,2.066,6.915,63.46,73.98,108,107.6,65.81,45.65,53.6,55.77,89.43,9.91,18.79,68.4,17.97,104.3,180.4,10.56,79.73,64.9,61.65,143.6,61.8,54.86,26.22,73.63,93.62,2.125,11.56,139.5,11.58,47.89,127.6,185.8,111.4,73.08,16.14,84.15,44.69,32.72,51.91,33.08,106.1,40.02,38.61,65.44,148.8,160.3,123.1,5.094,174.7,78.98,105.8,105.8,105.4,8.037,150.4,222.9,16.54,89.36,183.9,203.5,95.72,82.55,160.9,193.5,80.72,120.5,111.7,24.13,23.26,56.26,84.15,61.87,45.7,99.03,136.5,14.18,41.41,110.5,23.21,81.94,35.54,86.74,9.594,58.18,49.54,125.7,107.2,37.09,82.79,31.91,83.73,78.13,41.67,24.49,64.21,101.5,61.09,107.2,78.92,232.9,142.2,30.93,81.71,31.05,159.5,101.8,44.84,38,91.78,148.6,50.47,80.97,13.14,17.01,209,81.93,97.95,40.12,70.56,42.88,32.21,63.07,93.94,71.05,14.26,114.4,123.4,18.72,98.36,63.1,106,73.87,12.36,58.85,25.75,56.53,61.05,78.49,35.29,64.29,166.3,209.2,73.78,57.81,50.81,28.76,37.65,66.78,109.3,135.5,42.28,28.09,5.52,118.4,100.1,22.79,51.14,47.94,64.83,64.82,55.14,112.5,60.95,21.01,23.53,5.641,126.1,5.779,46.89,169.7,23.02,52.04,143.5,48.81,48.61,91.62,39.85,40.69,73.99,18.24,17.36,95.8,161.4,160.1,64.99
LINC02499,ENSG00000250436.1,110.8,65.99,119.9,81.55,73.89,101.4,1.551,7.211,111.5,60.28,17.53,55.51,71.89,15.72,24.65,21.29,52.96,6.65,15.87,53.88,2.969,18.39,70.95,8.105,47.98,67.9,106.4,23.18,72.43,57.28,78.26,53.27,57.32,2.038,12.32,89.06,17.57,16.59,37.91,93.32,79.08,26.17,3.116,38.9,12.02,29.02,14.45,29.15,45.37,81.46,20.93,34.15,68.06,137.8,100.9,0.5535,78.37,27.19,104.7,47.49,52.12,1.092,105.7,75.92,16.92,27.24,107.8,117.2,164.7,51.18,33.71,51.19,44.09,243,123.7,14.04,33.66,43.06,108.7,63.79,21.66,55.68,98.93,3.527,25.17,123.7,28.1,104.4,51.59,25.46,1.717,71.11,46.7,110.6,141.8,27.29,47.41,28.67,102,66.57,112.7,31.85,37.65,90.69,22.71,141.4,51.7,74.54,81.58,2.903,44.78,30.34,138.1,41.59,50.97,25.79,15.21,154.6,22.26,36.47,65.15,1.912,57.27,76.79,23.93,20.88,58.93,15.76,88.64,89.45,62.93,63.81,0.8322,152.4,64.7,9.087,102,48.65,56.38,36.06,6.353,34.77,31.25,25.44,68.91,68.2,16.63,29.78,84.36,92,44.52,24.12,50.96,10.3,47.89,50.36,53,117.7,26.09,64.27,2.507,70.4,29.21,25.57,29.67,24.83,34.99,65.84,36.19,51.47,25.08,35.73,19.35,2.959,80.76,1.802,45.42,133.1,25.29,19.94,55.15,21.89,41.95,89.01,99.11,13.22,55.55,41.61,5.725,43.53,142.3,60.87,59.71
ARNTL2,ENSG00000029153.14,0.1942,1.194,3.067,0.1797,0.379,0.7526,9.29,9.811,0.8998,1.024,0.215,0.6519,0.8468,2.628,1.709,1.952,1.013,5.399,2.849,1.837,11.51,0.2452,0.1741,8.797,1.798,0.8888,1.947,1.07,1.063,2.183,2.015,0.958,1.423,17.28,11.8,0.4537,23.69,1.406,0.5574,2.843,0.2715,0.2087,15.09,0.8902,1.607,4.141,0.6444,0.8616,0.9167,0.7341,3.738,2.683,0.7983,0.5141,0.3454,6.576,0.2612,0.9568,0.5609,0.3701,1.108,5.06,0.7551,0.2103,10.4,0.9476,0.3391,0.9714,1.126,1.028,3.989,0.1024,2.505,0.6264,0.3445,1.73,12.87,1.256,1.558,1.691,4.773,1.55,0.6468,6.227,3.642,0.5867,1.443,1.521,1.876,1.815,4.435,1.92,0.8186,0.4252,0.2817,0.1235,0.8619,8.521,0.735,2.795,0.583,7.798,0.6517,1.61,2.452,0.8275,0.6735,1.17,0.7744,9.84,0.6019,3.695,0.4151,0.1874,1.746,5.222,3.342,0.7115,3.042,0.4312,2.817,6.967,0.9237,0.6954,2.343,0.2139,1.548,2.884,0.497,2.562,0.6788,0.2762,12.17,3.28,0.7867,18.47,2.064,1.273,0.6184,2.942,3.737,1.034,4.379,1.028,1.068,0.7042,3.467,5.125,0.1803,0.274,1.011,1.082,5.886,2.488,3.532,2.117,0.2437,0.4318,4.968,1.788,16.41,1.571,2.833,6.164,2.614,0.4842,0.7371,2.264,1.316,0.2919,0.8098,3.493,2.654,9.617,0.6684,7.126,2.397,1.026,4.944,3.14,0.3154,2.821,1.366,0.7675,2.131,0.9092,0.9805,7.559,7.017,3.065,0.4026,0.1977,1.696
AC004862.6,ENSG00000232667.10,5.445,3.213,2.052,1.593,3.412,6.369,0.08697,0.1926,2.404,2.424,1.973,2.128,2.913,1.961,1.19,2.55,3.075,0.3693,0.7443,1.15,0.4986,1.943,5.327,0.08923,1.857,3.423,4.416,1.419,1.626,1.733,0.5053,1.296,1.946,0.6614,0.5691,5.561,1.179,2.083,1.266,2.565,5.259,2.439,0.4367,3.502,1.44,0.9885,3.42,1.817,1.212,2.794,2.127,0.588,1.866,4.058,3.34,0.06288,4.065,3.126,4.292,6.117,3.567,0.1605,3.192,5.417,0.6775,1.494,4.899,3.574,3.306,2.714,3.85,3.67,1.125,3.988,6.305,1.183,3.181,1.121,2.199,3.314,0.9767,1.285,5.746,0.297,0.4549,2.56,1.29,5.198,0.8428,1.888,0.6528,1.083,2.303,2.536,3.696,1.887,3.392,0.8862,1.429,1.874,2.164,1.659,1.105,2.162,1.143,2.048,1.951,5.313,3.621,0.3603,2.657,1.015,5.019,4.145,2.027,0.5905,1.265,4.599,2.345,4.245,1.125,0.4461,2.111,4.01,1.134,1.347,3.447,1.028,2.904,3.075,1.685,2.449,0.8346,4.422,3.835,0.1951,2.639,2.255,1.235,0.5735,0.1385,4.247,0.4461,4.587,2.127,2.049,1.209,1.944,4.925,4.595,2.253,2.508,1.443,0.6663,0.412,1.93,2.94,3.777,0.8671,2.134,0,1.8,1.803,0.5379,1.167,0.4297,0.8752,1.523,1.898,2.357,2.671,0.7073,0.4261,0.07704,1.991,0.287,1.781,3.801,1.889,0.9744,5.533,0.8894,1.479,1.829,1.934,2.344,2.588,0.9538,0.7411,1.283,3.944,4.292,2.527
CTD-2012K14.8,ENSG00000276075.1,6.292,9.401,3.337,5.61,12.03,9.432,1.245,0.2331,3.749,8.859,7.078,4.834,8.642,0.7095,2.616,6.536,15.45,2.776,2.02,3.147,1.42,4.812,5.962,3.602,5.572,7.633,8.711,8.974,5.789,4.407,2.129,2.924,10.27,1.703,0.5914,8.403,0.5509,1.028,3.293,14.28,9.32,10.64,0.5064,7.928,1.89,3.145,6.222,2.435,8.947,5.609,0.9252,2.435,2.747,4.552,6.633,1.094,7.236,2.781,10.67,11.11,4.308,0.819,9.864,5.332,2.64,2.952,7.629,8.012,6.834,5.674,3.043,7.935,2.944,10.06,14.57,2.051,2.46,5.485,9.007,2.057,1.917,4.013,6.858,0.4801,2.967,4.99,0.4276,9.261,4.949,7.096,0.5787,6.081,2.886,12.51,6.208,3.262,5.012,2.682,2.115,8.406,3.239,5.194,5.47,9.596,3.414,3.596,8.807,7.57,6.008,1.418,7.85,3.251,8.805,8.12,3.255,2.192,1.425,7.513,2.924,8.429,1.538,0.2403,2.109,13.27,3.997,7.208,1.825,1.502,9.091,3.73,5.337,6.156,2.78,7.286,5.216,0.5144,7.163,7.15,7.521,9.927,0.7708,9.963,0.7095,8.834,2.606,4.973,1.262,1.014,12.41,11.98,4.279,2.813,3.206,1.537,5.314,3.054,9.432,8.231,2.145,2.432,0.7848,4.048,5.382,2.466,3.694,5.046,1.856,3.002,6.527,9.964,5.208,1.666,3.163,1.447,5.541,0,3.851,7.76,3.75,0.8838,8.003,2.454,0.8061,3.796,4.623,1.909,5.181,1.616,0.9901,1.342,10.14,9.665,4.341
AL161668.5,ENSG00000258604.1,20.83,12.96,7.617,8.498,33.96,26.62,0.3389,0.3807,21.08,12.71,15.67,19.54,16.5,6.24,8.064,16.1,20.92,2.603,4.23,7.09,1.371,15.23,23.24,1.116,20.02,16.08,16.02,15.92,6.611,5.093,5.216,9.871,13.06,0.3759,1.242,18.46,1.718,6.953,2.827,30.31,24.24,36.13,0.4136,12.31,6.821,4.575,5.164,7.648,19.38,12.99,6.573,13.1,3.345,25.19,12.61,1.286,25.79,13.84,38.4,30.85,5.361,1.885,22.61,26.65,3.902,10.21,16.09,7.187,29.94,12.12,16.01,36.68,12.8,31.82,33.93,5.217,6.91,2.986,7.311,8.189,3.642,12.85,27.76,6.97,8.746,37.43,5.796,35.53,3.674,13.37,1.172,8.955,6.465,21.11,29.69,4.063,13.09,2.503,5.735,7.61,13.19,2.018,17.2,6.485,4.613,11.75,11.08,7.697,10.29,0.8473,17.92,4.078,16.35,32.06,7.042,1.728,4.92,32.78,8.745,18.04,4.293,2.682,4.184,50.04,10.38,15.99,5.284,3.909,8.74,9.381,4.767,14.94,1.431,8.723,27.41,0.3267,8.34,24.07,7.009,3.992,3.147,16.94,2.608,37.87,8.756,11.47,5.154,6.535,35.19,29.39,13.26,19.28,8.418,7.53,8.68,6.795,23.21,37.81,8.06,4.778,0.4273,15.43,19.06,2.733,5.06,7.402,7.484,5.42,19.89,25.26,7.789,2.144,4.278,0.3502,9.474,0.4015,12.7,22.44,8.787,2.439,15.86,5.837,5.078,8.468,8.413,12.65,22.39,5.581,1.348,6.343,29.62,69.86,7.179
CREB3,ENSG00000107175.11,14.68,14.21,28.8,10.59,12.34,21.52,75.67,43.6,24.16,14.03,12.34,17.1,22.76,23.79,21.13,26.99,23.85,54.54,32.55,26.86,51.77,13.86,13.04,67.74,34.35,20.76,20.87,29.72,30.12,21.82,39.65,28.58,26.34,71.14,28.94,16.82,63.03,20.67,23.07,34.33,14.06,12.16,63.98,22.35,22.85,46.75,13.66,26.08,20.8,19.23,43.21,32.34,22.07,27.69,19.51,31.44,18.97,17.67,16,15.93,16.59,42.45,18.93,9.289,29.04,19.16,10.14,21,24.28,22.53,19.41,13.65,22.39,16.87,17.53,41.78,52.27,23.74,22.42,20.97,29.67,17.7,19.63,29.82,32.5,19.52,42.2,20.7,62.76,25.92,69.71,20.26,30.47,15.62,18.86,6.714,15.87,48.81,29.41,19.3,21.12,38.11,22.41,27.47,37.59,19.55,18.22,15.59,16.98,20.66,20.68,34.8,14.4,14.06,25.01,42.53,23.9,18.48,36.9,15.3,37.64,41.56,9.665,21.4,19.51,11.25,31.1,15.07,23.66,43.58,21.36,11.41,91.62,28,20.54,24.14,31.93,21.99,15.8,34.02,60.88,19.24,51.33,24.8,21.96,34.79,55.14,27.33,12.17,13.56,23.12,29.11,31.89,63.12,38.17,21.45,15.28,15.74,34.09,23.5,74.78,21.17,35.39,40.23,22.8,8.465,25.82,40.33,21.57,13.95,16.28,19.15,39.08,86.14,17.34,58.62,42.17,21.59,48.73,21.27,18.53,34.22,21.57,19.84,14.82,20.41,17.54,31.45,64.46,20.26,17.69,12.18,18.37
RP11-252E2.2,ENSG00000261058.1,1.658,4.352,2.417,1.339,3.712,3.453,0.2791,0,2.362,2.17,1.821,1.084,3.095,0.8076,0.6811,0.6063,3.058,0.1383,0.1393,1.606,0.08682,0.8592,4.178,0.2506,1.312,4.284,2.577,1.097,1.288,1.846,1.023,0.3933,3.182,0.06191,0,3.569,0.2695,1.975,0.6814,4.006,4.156,2.003,0,2.535,0.246,0.4626,2.85,0.5039,1.03,1.646,0.8089,1.235,1.679,4.057,1.828,0,5.574,4.698,3.776,5.255,3.753,0,3.757,3.373,0.08455,2.382,2.068,6.979,8.357,1.425,5.417,2.455,2.44,3.979,9.536,1.379,0.7279,0.7807,3.845,4.15,0.9471,1.443,4.547,0.7175,0.09733,2.12,1.208,4.699,1.643,4.773,0,2.212,1.775,3.307,1.968,1.562,1.994,0.451,0.8535,3.133,1.801,0.4154,1.656,3.116,1.021,2.308,0.9628,7.417,4.888,0.09303,2.97,1.457,3.623,3.345,1.023,0.2033,0.8212,8.975,1.607,2.872,0.7146,0.3771,0.8613,3.983,1.075,0.4293,1.525,0.7575,2.322,4.063,3.253,1.006,0.1025,8.096,7.287,0,1.532,3.744,0.6207,1.812,0,4.449,0.7953,3.435,3.055,6.295,1.132,0.6822,3.338,2.917,3.374,0.6756,0.3275,0.1426,0.2257,1.346,4.055,1.596,1.154,4.172,0.05864,2.365,1.871,0.1185,1.282,0.6159,0.5461,1.984,3.815,2.783,3.207,0.8148,1.329,0,2.09,0,0.7674,5.856,1.919,0.7789,1.843,1.274,2.556,5.915,4.264,4.804,7.114,1.056,0.148,2.966,4.988,3.459,2.513
AP000355.2,ENSG00000228923.1,55.47,36.2,30.33,20.56,48.7,52.38,2.669,2.065,24.68,42.08,21.34,21.82,32.32,27.46,6.755,8.777,13.06,3.012,14.29,26.99,2.214,8.034,20.55,8.076,19.11,18.13,37.94,9.082,19.47,13.49,37.16,10.8,26.77,8.551,3.2,58.08,4.438,16.68,8.929,35.04,25.63,25.1,1.954,24.42,3.354,22.54,13.31,25.16,12.58,13.56,11.7,12.49,19.06,35.38,24.09,1.188,27.08,23.3,30.34,46.77,45.15,3.139,59.19,16.4,8.894,18.21,44.18,60.16,28.3,7.572,20.79,17.92,17.76,42.33,77.3,10.76,6.82,10.95,9.943,16.99,10.01,19.14,39.56,14.48,11.17,35.94,22.06,74.05,23.51,11.31,2.713,17.31,10.61,54.19,26.74,9.086,13.16,5.75,17.53,16.28,25.06,10.95,11.87,19.03,25,34.98,26.86,34.39,32.06,1.582,17.38,3.568,39.59,35.89,16.73,7.345,10.7,140.5,10.71,51.98,18.78,10.53,20.89,54.61,5.652,3.801,23.75,14.82,30.75,37.15,33.9,11.21,2.449,47.99,18.37,0.3267,25.41,24.57,7.979,10.55,11.57,35.48,7.183,24.36,17.13,28.01,9.244,6.443,64.35,29.8,20.74,8.111,4.118,6.362,16.31,12.8,23.64,18.96,11.12,21.16,0.6231,18.64,9.938,3.776,9.451,7.158,13.01,17.54,19.98,33.7,15.69,15.22,44,5.286,14.14,3.953,8.409,41.82,6.64,23.04,15.04,18.64,13.41,24.61,21.9,19.05,16.04,12.54,5.346,20.9,42.98,38.83,35.73
RP11-119D9.1,ENSG00000251637.6,6.684,5.538,0.6519,2.601,10.73,5.426,0.2156,1.001,2.991,2.837,2.806,1.96,3.333,1.918,0.906,1.454,3.751,0.2759,0.05381,0.8549,0.2235,2.411,7.182,0.1075,2.967,3.408,5.796,3.866,1.854,0.871,1.284,2.059,1.794,0.9323,0.5266,4.169,1.518,0.6227,1.696,4.139,6.043,4.095,0.1052,5.524,0.6703,0.6296,2.23,3.211,3.198,3.479,1.137,1.458,1.755,7.113,3.031,0.197,7.995,1.658,12.47,11.43,3.829,0.02578,5.628,4.934,0.283,2.411,3.164,2.729,7.261,2.699,3.324,3.174,1.547,4.903,8.936,0.02731,4.744,1.94,1.98,0.8124,0.3048,2.023,6.243,0.7296,0.0877,4.809,1.118,5.438,1.235,2.906,0,1.709,1.106,3.947,5.106,1.924,3.239,0.7215,1.414,2.902,3.215,2.182,4.836,3.796,0.7225,5.101,2.754,2.96,2.131,0.5329,3.568,1.721,3.439,12.52,1.625,0.1243,0.3242,11.19,2.482,7.858,0.6632,0.08322,0.7892,4.792,1.158,1.63,0.3064,0.7557,4.782,1.311,2.887,1.81,0.3561,4.529,3.542,0.3859,2.894,6.426,2.732,1.624,0.1112,4.772,0.9112,7.014,2.482,4.115,1.275,0.9562,6.937,6.478,2.41,1.452,2.185,0.09175,1.433,0.6018,3.699,6.192,1.337,0.8849,0.1963,1.89,0.5758,0.5337,0.4539,1.658,0.4921,0.7022,3.486,3.535,1.521,1.39,1.403,0.03713,1.991,0.681,0.6421,4.169,1.214,0.3272,5.02,2.184,0.7577,5.41,2.035,0.7225,5.298,0.8555,0.3238,0.855,5.638,12.67,1.941
RP11-258F1.2,ENSG00000279428.1,29.56,22.96,10.75,11.43,30.75,32.43,0.03999,0.0539,21.11,35.63,38.15,16.43,11.21,2.241,13.42,2.199,18.88,0.5647,2.021,21.72,0.1306,24.66,14.44,0.07181,3.963,10.03,22.49,4.009,35.33,7.668,12.23,16.16,22.61,0.2528,2.735,23.81,0.666,13.13,36.02,20.18,34.41,10.47,0,14.54,6.459,0.5966,24.98,16.79,9.779,13.03,1.939,31.34,15.17,13.97,52.54,0.0253,12.82,8.49,15.05,11.64,19.87,0.05381,19.69,41.61,0.2726,7.168,70.34,42.7,28.38,15.45,1.772,27.99,18.38,21.07,16.94,0.1824,20.62,3.549,9.931,33.04,1.267,13.12,25.7,0.2621,0.2719,12.47,5.636,16.61,7.153,2.821,0.05353,17.28,19.02,19.54,21.27,18.35,27.19,0.7615,9.857,39.06,16.33,4.309,8.727,16.86,4.582,11.6,6.775,29,21.46,0.8398,10.02,2.247,42.64,22.66,11.56,0.2512,3.742,34.19,1.905,51.8,4.599,0.22,16.66,22.92,8.55,9.219,14.39,3.283,50.38,12.28,18.03,17.87,0.2422,8.661,29.57,0.1735,3.717,19,9.524,1.831,0.2043,68.63,0.6324,10.37,28.64,7.779,3.512,4.285,27.56,39.34,13.14,10.48,1.865,0.06128,0.1455,5.572,14.64,19.63,0.2636,6.297,0.02521,27.79,0.5244,0.3437,3.737,6.291,3.052,9.973,5.276,76.47,24.36,4.115,20.79,0.1085,23.15,0.01777,4,37.23,2.121,19.2,11.85,0.3236,5.06,5.46,2.844,4.406,14.2,1.615,0.4134,10.12,20.62,10.27,31.12
